title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id
西四路口北,116.37988,39.93068,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289019.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
后九条,116.39394,39.95771,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289242.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
地坛西门,116.4146,39.95808,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289092.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
雍和宫,116.42308,39.95406,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288996.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西四,116.37995,39.93004,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295173.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
新街口南,116.37923,39.94609,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289152.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四九条,116.43233,39.93928,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289176.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西黄城根南街,116.38398,39.92435,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289596.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
海运仓,116.43213,39.94336,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289175.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
朝内小街,116.43089,39.93052,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289178.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四六条,116.43246,39.93446,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289177.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
新街口西,116.37853,39.94668,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289896.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东内小街,116.43085,39.94709,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289905.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西四路口西,116.37861,39.92998,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289009.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
雍和宫桥北,116.42294,39.95553,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289956.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
新东安市场,116.42034,39.92018,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289877.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
新街口北,116.37896,39.94841,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289151.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西四路口南,116.38005,39.92725,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289871.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东直门内小街,116.43207,39.9468,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289174.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
雍和宫桥东(东行),116.42452,39.95538,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station290013.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
雍和宫桥东(西行),116.42452,39.95538,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station290012.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
雍和宫桥东,116.42454,39.95538,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289021.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东直门北小街南口,116.43199,39.94766,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station291224.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
德胜门西,116.38382,39.95509,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289246.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
缸瓦市,116.38009,39.92562,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289154.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
德胜门,116.38336,39.95489,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288838.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
宝产胡同,116.37474,39.94006,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288890.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
米市大街,116.42428,39.92079,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289899.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安德路西口,116.38699,39.95755,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289241.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
祖家街,116.37427,39.93618,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288889.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
地铁新街口站,116.37508,39.94463,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289429.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
鼓楼外大街南站,116.40157,39.96238,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289775.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
积水潭桥南,116.37875,39.95216,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289150.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
中山公园西门(南长街),116.39827,39.91487,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station294862.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
灵境胡同,116.38334,39.92072,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289595.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
南长街,116.39829,39.91474,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288828.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
演乐胡同,116.43281,39.92708,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289179.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
平安医院,116.3729,39.93823,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289911.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
积水潭桥东,116.38062,39.95472,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289240.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
天安门东,116.40756,39.9141,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288791.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
新开胡同,116.37434,39.94653,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288891.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
