title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id,poiID
"东四九条",116.43233,39.93928,18,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289176.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138871
"西黄城根南街",116.38398,39.92435,43,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289596.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138881
"海运仓",116.43213,39.94336,16,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289175.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138900
"朝内小街",116.43089,39.93052,42,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289178.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138911
"东四六条",116.43246,39.93446,20,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289177.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138926
"新街口西",116.37853,39.94668,45,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289896.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138937
"东内小街",116.43085,39.94709,19,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289905.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138951
"西四路口西",116.37861,39.92998,44,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289009.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138971
"雍和宫桥北",116.42294,39.95553,22,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289956.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138994
"新东安市场",116.42034,39.92018,47,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289877.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139007
"新街口北",116.37896,39.94841,21,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289151.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139018
"西四路口南",116.38005,39.92725,46,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289871.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139030
"东直门内小街",116.43207,39.9468,7,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289174.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139040
